dd/mm/y	who	where	what	what-x (Hebrew)	what-y (Hebrew)
2025-11-10 00:00:00	S(A)K	משלי כב,יז	"Added grey mapaph connecting ""הַ֥ט אׇזְנְךָ֗"". Credit to Ben Denckla. To be imported via auto-edits."		
2025-11-09 00:00:00	S(A)K	תהלים קמג,ג	"Added grey mapaph connecting ""כִּ֥י רָ֘דַ֤ף"". Credit to Ben Denckla. To be imported via auto-edits."		
2025-10-28 00:00:00	S(A)K	שופטים ז,ז	"The word ""הַֽמְﬞלַֽקְﬞקִים֙"" with varika in the letters מ and ק to represent hataph, and meteg in the letters ה and ל, in order to accurately reflect the word ""הַֽמֲלַֽקֲקִים֙"" as it is pointed in AC in this verse (as opposed to the preceding verse). Credit to Asael Reiter."		
2025-09-30 00:00:00	S(A)K	"שמ""א יג,כא"	"Qamaz qatan in ""הַדׇּרְבָֽן"" with template and note."		
2025-09-25 00:00:00	BD	תהלים קיט,ס	Manually brought over a change from Wikisource: remove a superfluous one-arg call to the מ:דחי template.		
2025-09-25 00:00:00	BD	תהלים עו,ו	Manually brought over a change from Wikisource: replace space-then-{{ש}} with {{מ:לגרמיה-2}}.		
2025-09-25 00:00:00	BD	various	Applied 67 auto-edits.		
2025-08-31 00:00:00	S(A)K	תהלים לב,ה	Moved pretonic accent tsinnor from the letter ע to ו in the word וַעֲוֺ֘נִ֤י (as expected and as found in AC, LC and printed versions). Credit to Ben Denckla. To be imported via auto-edits.		
2025-07-20 00:00:00	S(A)K	תהלים מט,טו	"Added stress helper in ""שַׁ֮תּוּ֮"" along with new documentation note. Credit to Ben Denckla. To be imported via auto-edits."		
2025-05-18 00:00:00	S(A)K	איוב טז,יד	"Moved small letter final-tsadi (ץ) from the first instance (""פֶ֭רֶץ"") to the second instance (""עַל־פְּנֵי־פָ֑רֶץ""), as properly found in old printed versions and Koren. Credit to Adrian Hills. To be imported via auto-edits."		
2025-05-17 00:00:00	BD	various	Applied 19 auto-edits.		
2025-05-09 00:00:00	S(A)K	מיכה ב,י	"Changed ""טׇמְאָ֛ה"" to qamaz qatan and added new documention note. To be imported via auto-edits."		
2025-04-04 00:00:00	S(A)K	משלי יא,יב; משלי יד,כא	"Changed qamaz in ""בׇּז־לְרֵעֵ֥הוּ"" to regular (long) vowel, instead of qamaz qatan; added documentation note. Credit to anonymous contributor at Hebrew Wikisource, and thanks to Prof. Yosef Ofer for his assistance. To be imported via auto-edits."		
2025-03-21 00:00:00	BD	various	Applied 32 auto-edits, making YBY-2 changes.		
2025-03-21 00:00:00	BD	תהלים סה,י	"Manually apply a change also made on ws: kick out a ""2=א="" prefix from a call to גלגל-2."		
2025-03-21 00:00:00	BD	"ספרי אמ""ת"	Applied 39 auto-edits, using Unicode GLGL instead of the GLGL template and using the new GLGL-2 template on that word.		
2025-03-21 00:00:00	BD	"ספרי אמ""ת"	Applied 195 auto-edits, using Unicode AH instead of the AH template.		
2025-03-19 00:00:00	BD	"ספרי אמ""ת"	"Applied 565 auto-edits, removing all uses of 1-arg ""dexnor""."		
2025-03-19 00:00:00	BD	various	Applied 17 auto-edits, supplying extra arguments to k-velo-q and q-velo-k.		
2025-03-18 00:00:00	BD	various	Applied 186 auto-edits, the vast majority of which have to do with changing פסקא באמצע פסוק be an arg to sampe.		
2025-03-17 00:00:00	S(A)K	איוב כא,כד	"Correct spelling to ""עֲ֭טִנָיו"" (AC) rather than ""עֲ֭טִינָיו' (LC); added documentation note. Credit to anonymous contributor at AlHatorah. To be imported via auto-edits."		
2025-03-15 00:00:00	BD	various	"Applied 131 auto-edits prefixing trivial-qere doc args with ""2="""		
